filename,category,X,X_canny
A1458.jpg,0,"[[0.11372549 0.1254902  0.10980392 ... 0.12941176 0.10980392 0.11764706]
 [0.1254902  0.10196078 0.13333333 ... 0.09803922 0.12156863 0.11372549]
 [0.11764706 0.12156863 0.44313725 ... 0.43137255 0.41960784 0.10980392]
 ...
 [0.11372549 0.10980392 0.85882353 ... 0.6745098  0.68235294 0.11372549]
 [0.11764706 0.11764706 0.81960784 ... 0.6745098  0.63921569 0.11372549]
 [0.11372549 0.10980392 0.11372549 ... 0.11372549 0.11372549 0.11764706]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False  True ...  True  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
A1780.jpg,0,"[[0.12156863 0.1254902  0.11372549 ... 0.12156863 0.12156863 0.11764706]
 [0.12941176 0.10196078 0.11764706 ... 0.10196078 0.11372549 0.10980392]
 [0.11372549 0.10196078 0.48627451 ... 0.45490196 0.43137255 0.11764706]
 ...
 [0.11372549 0.10980392 0.85098039 ... 0.6627451  0.68235294 0.12156863]
 [0.11764706 0.12156863 0.83137255 ... 0.6745098  0.64705882 0.11372549]
 [0.11764706 0.11372549 0.10980392 ... 0.10980392 0.12156863 0.10980392]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False  True ...  True  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
A2088.jpg,0,"[[0.1254902  0.11764706 0.11764706 ... 0.11764706 0.11372549 0.10980392]
 [0.12156863 0.11764706 0.10588235 ... 0.11372549 0.1254902  0.10196078]
 [0.10980392 0.10980392 0.06666667 ... 0.27843137 0.23921569 0.13333333]
 ...
 [0.11764706 0.11372549 0.61568627 ... 0.92941176 0.91764706 0.12156863]
 [0.11372549 0.10588235 0.61176471 ... 0.93333333 0.92156863 0.10980392]
 [0.11372549 0.11372549 0.10980392 ... 0.10980392 0.10588235 0.11764706]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False  True ...  True  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
A2969.jpg,0,"[[0.11372549 0.10980392 0.11372549 ... 0.11372549 0.11372549 0.12156863]
 [0.12941176 0.10588235 0.1254902  ... 0.12156863 0.10588235 0.11372549]
 [0.10980392 0.13333333 0.33333333 ... 0.48627451 0.51372549 0.11764706]
 ...
 [0.10980392 0.10980392 0.28627451 ... 0.5254902  0.54117647 0.10980392]
 [0.10980392 0.1372549  0.26666667 ... 0.54117647 0.5254902  0.11372549]
 [0.12156863 0.10588235 0.11764706 ... 0.10980392 0.12156863 0.10980392]]","[[False False False ... False False False]
 [False False False ...  True  True False]
 [False False False ... False  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
A1404.jpg,0,"[[0.12156863 0.1254902  0.10980392 ... 0.1254902  0.10980392 0.11372549]
 [0.13333333 0.10196078 0.12941176 ... 0.09803922 0.1254902  0.11764706]
 [0.11372549 0.10980392 0.48627451 ... 0.43529412 0.41176471 0.10980392]
 ...
 [0.11372549 0.11372549 0.85882353 ... 0.66666667 0.69019608 0.11372549]
 [0.10980392 0.11372549 0.83921569 ... 0.67843137 0.65098039 0.10588235]
 [0.11372549 0.12156863 0.10196078 ... 0.10196078 0.12156863 0.11764706]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False  True ...  True  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
A1323.jpg,0,"[[0.11764706 0.11764706 0.10980392 ... 0.11764706 0.11372549 0.11764706]
 [0.12156863 0.10196078 0.13333333 ... 0.10196078 0.1254902  0.10980392]
 [0.11372549 0.11372549 0.48627451 ... 0.43921569 0.40784314 0.11764706]
 ...
 [0.10980392 0.10980392 0.84313725 ... 0.65098039 0.69411765 0.11764706]
 [0.12156863 0.1254902  0.81960784 ... 0.6745098  0.65098039 0.10588235]
 [0.11372549 0.11764706 0.10980392 ... 0.11764706 0.11764706 0.11372549]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False  True ...  True  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
A756.jpg,0,"[[0.12156863 0.11764706 0.11764706 ... 0.11372549 0.11764706 0.11372549]
 [0.11372549 0.11372549 0.12156863 ... 0.11764706 0.11372549 0.11372549]
 [0.12156863 0.12156863 0.15294118 ... 0.69411765 0.67058824 0.11372549]
 ...
 [0.12156863 0.10588235 0.51764706 ... 0.48627451 0.50588235 0.09803922]
 [0.10980392 0.11764706 0.51372549 ... 0.51764706 0.49411765 0.11764706]
 [0.11764706 0.11764706 0.10980392 ... 0.10196078 0.12156863 0.11372549]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ...  True  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
A1481.jpg,0,"[[0.11372549 0.1254902  0.11764706 ... 0.11764706 0.1254902  0.11372549]
 [0.12156863 0.10980392 0.11372549 ... 0.09803922 0.10980392 0.11372549]
 [0.11372549 0.10196078 0.4627451  ... 0.44313725 0.44313725 0.10980392]
 ...
 [0.11372549 0.11372549 0.84313725 ... 0.68235294 0.67058824 0.12156863]
 [0.11764706 0.10980392 0.83529412 ... 0.67058824 0.65098039 0.10588235]
 [0.11764706 0.10980392 0.10980392 ... 0.11764706 0.11372549 0.12156863]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False  True ...  True  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
B2657.jpg,1,"[[0.11372549 0.1254902  0.10980392 ... 0.12156863 0.11372549 0.12156863]
 [0.11764706 0.11372549 0.11764706 ... 0.10980392 0.1254902  0.10980392]
 [0.11764706 0.11372549 0.37254902 ... 0.51372549 0.49019608 0.12156863]
 ...
 [0.11372549 0.10196078 0.30196078 ... 0.54509804 0.55294118 0.10980392]
 [0.11372549 0.13333333 0.28235294 ... 0.56470588 0.5254902  0.12941176]
 [0.11372549 0.11372549 0.10196078 ... 0.11372549 0.12156863 0.09803922]]","[[False False False ... False False False]
 [False False False ...  True  True False]
 [False False False ... False  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
B1864.jpg,1,"[[0.10980392 0.12156863 0.10980392 ... 0.1254902  0.10980392 0.11764706]
 [0.12156863 0.11764706 0.10196078 ... 0.10980392 0.1254902  0.11764706]
 [0.11764706 0.10980392 0.49803922 ... 0.47058824 0.41568627 0.10196078]
 ...
 [0.11764706 0.10588235 0.85098039 ... 0.66666667 0.68627451 0.11764706]
 [0.11372549 0.10980392 0.82745098 ... 0.67843137 0.64705882 0.10588235]
 [0.11372549 0.10980392 0.11372549 ... 0.10196078 0.11372549 0.11764706]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False  True ...  True  True False]
 ...
 [False False  True ... False  True False]
 [False False  True ...  True  True False]
 [False False False ... False False False]]"
